2011/06/03,212,213,212,213,400,213
2011/06/06,212,216,211,216,1,800,216
2011/06/07,213,213,210,213,3,500,213
2011/06/08,213,213,210,212,1,700,212
2011/06/09,212,213,209,212,3,600,212
2011/06/10,213,213,208,211,5,100,211
2011/06/13,211,213,211,213,5,500,213
2011/06/14,213,215,212,213,2,600,213
2011/06/15,215,216,214,216,1,000,216
2011/06/16,216,216,212,214,2,200,214
2011/06/17,217,217,213,214,2,000,214
2011/06/20,214,230,214,215,10,200,215
2011/06/21,215,220,215,217,1,800,217
2011/06/22,220,220,215,217,4,200,217
2011/06/23,216,216,215,215,3,300,215
2011/06/24,215,216,215,215,900,215
2011/06/27,215,215,214,214,2,300,214
2011/06/28,215,215,214,215,2,800,215
2011/06/29,216,216,215,215,2,200,215
2011/06/30,218,219,217,218,2,200,218
2015/08/24,290,291,287,288,18,800,288
2015/08/25,279,285,276,280,15,700,280
2015/08/26,287,290,284,289,5,400,289
2015/08/27,291,291,286,291,3,700,291
2015/08/28,291,292,289,292,2,300,292
2015/08/31,290,292,290,290,1,400,290
2015/09/01,290,291,289,289,3,200,289
2015/09/02,289,292,288,288,3,900,288
2015/09/03,288,288,287,287,6,400,287
2015/09/04,288,290,285,285,7,000,285
2015/09/07,285,289,285,285,3,100,285
2015/09/08,285,287,284,285,2,700,285
2015/09/09,286,287,285,287,2,800,287
2015/09/10,286,287,284,286,2,000,286
2015/09/11,286,289,281,289,8,900,289
2015/09/14,289,289,287,287,500,287
2015/09/15,287,287,284,284,2,800,284
2015/09/16,284,286,283,286,1,600,286
2015/09/17,285,288,285,287,3,100,287
2015/09/18,288,288,285,288,4,700,288
2015/09/24,285,287,280,282,8,100,282
2015/09/25,284,285,281,283,3,200,283
2015/09/28,284,286,284,284,2,200,284
2015/09/29,285,287,281,281,3,200,281
2015/09/30,281,284,281,284,1,500,284
2015/10/01,284,287,284,285,1,600,285
2015/10/02,284,284,283,283,1,900,283
2015/10/05,285,285,285,285,300,285
2015/10/06,286,286,282,282,3,300,282
2015/10/07,284,285,284,284,800,284
2015/10/08,285,287,285,287,2,700,287
