2011/06/03,2,396,2,408,2,384,2,391,6,705,800,2,391
2011/06/06,2,365,2,381,2,333,2,341,7,457,000,2,341
2011/06/07,2,325,2,372,2,321,2,363,6,914,300,2,363
2011/06/08,2,350,2,358,2,290,2,314,9,583,600,2,314
2011/06/09,2,294,2,303,2,264,2,302,7,894,200,2,302
2011/06/10,2,329,2,333,2,274,2,276,9,943,300,2,276
2011/06/13,2,243,2,294,2,235,2,289,5,329,400,2,289
2011/06/14,2,275,2,324,2,266,2,319,5,418,200,2,319
2011/06/15,2,352,2,391,2,341,2,372,9,065,200,2,372
2011/06/16,2,358,2,395,2,350,2,352,7,502,200,2,352
2011/06/17,2,353,2,376,2,326,2,337,5,695,800,2,337
2011/06/20,2,338,2,360,2,320,2,322,3,677,800,2,322
2011/06/21,2,360,2,402,2,356,2,402,6,084,400,2,402
2011/06/22,2,452,2,470,2,438,2,462,9,371,000,2,462
2011/06/23,2,463,2,467,2,426,2,439,6,064,300,2,439
2011/06/24,2,454,2,485,2,435,2,483,7,134,800,2,483
2011/06/27,2,475,2,475,2,445,2,452,4,120,100,2,452
2011/06/28,2,492,2,497,2,470,2,483,4,477,900,2,483
2011/06/29,2,500,2,513,2,480,2,493,5,571,200,2,493
2011/06/30,2,499,2,500,2,451,2,497,6,860,200,2,497
2015/09/09,2,020,2,047,2,012,2,033,7,701,100,2,033
2015/09/17,2,015,2,016,1,975,2,000,7,513,100,2,000
2015/10/01,1,760,1,819,1,755,1,795,6,258,000,1,795
2015/10/02,1,767,1,770,1,726,1,747,6,310,700,1,747
2015/10/07,1,831,1,901,1,831,1,898,6,987,400,1,898
