2011/06/03,300,300,291,296,700,296
2011/06/06,285,294,284,285,7,900,285
2011/06/07,285,293,280,285,6,000,285
2011/06/08,280,285,276,285,3,600,285
2011/06/09,274,283,273,283,5,700,283
2011/06/10,289,289,285,285,300,285
2011/06/13,278,280,275,280,5,000,280
2011/06/14,279,280,275,280,2,700,280
2011/06/15,282,282,271,280,7,200,280
2011/06/16,275,280,273,273,4,700,273
2011/06/17,272,273,272,273,3,800,273
2011/06/20,270,272,270,272,3,200,272
2011/06/21,271,283,271,283,1,900,283
2011/06/22,276,279,271,275,3,600,275
2011/06/23,277,281,277,281,4,700,281
2011/06/24,283,287,281,284,7,700,284
2011/06/27,286,292,285,292,5,700,292
2011/06/28,294,295,292,294,10,600,294
2011/06/29,294,297,292,294,9,200,294
2011/06/30,296,301,296,296,4,300,296
2015/08/24,307,311,278,280,154,200,280
2015/08/25,261,294,251,277,122,100,277
2015/08/26,284,303,280,303,57,200,303
2015/08/27,300,317,300,309,49,400,309
2015/08/28,320,320,313,315,23,600,315
2015/08/31,321,321,308,309,25,500,309
2015/09/01,307,315,305,305,18,100,305
2015/09/02,297,310,295,305,19,200,305
2015/09/03,306,311,303,309,16,900,309
2015/09/04,313,313,294,299,15,800,299
2015/09/07,290,294,272,280,97,300,280
2015/09/08,285,285,271,271,26,700,271
2015/09/09,280,290,278,289,46,700,289
2015/09/10,285,290,280,288,21,300,288
2015/09/11,292,318,289,297,64,700,297
2015/09/14,305,305,287,293,11,000,293
2015/09/15,300,300,291,294,13,300,294
2015/09/16,302,302,292,296,7,700,296
2015/09/17,301,305,300,303,11,800,303
2015/09/18,307,317,298,308,21,500,308
2015/09/24,300,304,297,298,30,200,298
2015/09/25,298,305,298,303,18,700,303
2015/09/28,304,306,299,300,8,900,300
2015/09/29,298,298,290,292,12,800,292
2015/09/30,289,293,289,293,8,500,293
2015/10/01,292,298,292,297,12,000,297
2015/10/02,299,299,294,297,8,400,297
2015/10/05,299,299,294,299,5,700,299
2015/10/06,301,312,296,299,20,800,299
2015/10/07,300,301,295,301,17,800,301
