2011/06/03,420,421,408,411,4,344,000,411
2011/06/06,407,414,396,400,3,501,000,400
2011/06/07,403,436,402,436,10,899,000,436
2011/06/08,437,443,428,440,8,984,000,440
2011/06/09,443,448,433,444,6,211,000,444
2011/06/10,443,444,434,436,4,265,000,436
2011/06/13,431,453,425,451,6,802,000,451
2011/06/14,454,455,445,453,5,085,000,453
2011/06/15,453,467,447,448,6,898,000,448
2011/06/16,451,467,444,462,7,058,000,462
2011/06/17,458,459,410,425,12,065,000,425
2011/06/20,419,431,417,424,4,998,000,424
2011/06/21,426,433,419,433,2,956,000,433
2011/06/22,436,448,433,448,4,218,000,448
2011/06/23,444,455,441,445,3,820,000,445
2011/06/24,440,444,433,436,3,056,000,436
2011/06/27,432,437,424,426,2,763,000,426
2011/06/28,429,431,412,414,2,937,000,414
2011/06/29,419,422,406,416,4,163,000,416
2011/06/30,413,414,403,407,3,290,000,407
2015/08/24,850,865,835,835,508,000,835
2015/08/25,829,849,790,802,624,000,802
2015/08/26,810,859,808,855,336,000,855
2015/08/27,859,875,850,870,425,000,870
2015/08/28,875,906,875,904,397,000,904
2015/08/31,905,952,900,947,888,000,947
2015/09/01,939,947,925,928,577,000,928
2015/09/02,912,960,912,945,798,000,945
2015/09/03,955,970,943,952,668,000,952
2015/09/04,964,978,934,938,605,000,938
2015/09/07,938,944,924,929,445,000,929
2015/09/08,930,962,915,946,543,000,946
2015/09/09,951,960,897,929,1,103,000,929
2015/09/10,928,974,911,968,976,000,968
2015/09/11,948,970,945,966,600,000,966
2015/09/14,972,979,949,972,573,000,972
2015/09/15,967,975,940,946,308,000,946
2015/09/16,955,955,940,947,144,000,947
2015/09/17,946,963,942,960,232,000,960
2015/09/18,955,964,944,949,206,000,949
2015/09/24,934,941,894,923,612,000,923
2015/09/25,932,941,915,939,250,000,939
2015/09/28,904,921,897,909,440,000,909
2015/09/29,900,908,860,860,467,000,860
2015/09/30,870,907,866,901,374,000,901
2015/10/01,908,929,894,919,387,000,919
2015/10/02,919,940,910,940,274,000,940
2015/10/05,939,955,934,948,241,000,948
2015/10/06,948,968,948,961,347,000,961
2015/10/07,961,984,959,971,555,000,971
2015/10/08,960,967,943,945,394,000,945
2015/10/09,954,973,945,970,282,000,970
