2011/06/03,190,190,190,190,100,190
2011/06/06,188,188,185,186,1,200,186
2011/06/07,185,187,185,186,600,186
2011/06/08,188,190,185,189,2,900,189
2011/06/09,187,191,186,191,4,700,191
2011/06/10,189,189,189,189,1,800,189
2011/06/13,189,191,186,190,7,300,190
2011/06/14,190,193,190,193,7,500,193
2011/06/15,195,198,193,194,15,900,194
2011/06/16,188,192,188,192,3,800,192
2011/06/17,192,192,187,187,7,100,187
2011/06/20,190,190,182,182,4,800,182
2011/06/21,183,190,183,190,3,600,190
2011/06/22,193,194,192,193,5,800,193
2011/06/23,194,197,192,196,11,200,196
2011/06/24,195,200,195,199,11,300,199
2011/06/27,208,208,204,207,25,300,207
2011/06/28,203,207,191,199,14,600,199
2011/06/29,198,200,198,200,5,800,200
2011/06/30,199,202,197,202,4,900,202
2015/08/24,805,883,805,860,211,400,860
2015/08/25,830,848,804,808,190,000,808
2015/08/26,811,824,801,819,116,500,819
2015/08/27,830,848,817,820,99,700,820
2015/08/28,830,841,819,828,161,400,828
2015/08/31,880,905,850,879,243,400,879
2015/09/01,879,896,848,848,107,200,848
2015/09/02,831,849,814,817,79,300,817
2015/09/03,822,840,796,800,104,600,800
2015/09/04,796,796,750,751,141,800,751
2015/09/07,749,761,737,748,84,200,748
2015/09/08,750,765,726,728,56,600,728
2015/09/09,751,780,739,779,91,800,779
2015/09/10,771,829,766,817,199,700,817
2015/09/11,839,839,761,765,331,400,765
2015/09/14,777,777,750,751,112,000,751
2015/09/15,757,758,738,744,101,100,744
2015/09/16,755,768,745,764,66,200,764
2015/09/17,769,813,767,791,142,700,791
2015/09/18,776,799,764,771,117,300,771
2015/09/24,757,761,723,724,111,600,724
2015/09/25,739,748,720,748,89,800,748
2015/09/28,748,773,739,768,108,200,768
2015/09/29,758,758,736,738,122,000,738
2015/09/30,753,760,738,742,44,300,742
2015/10/01,747,747,726,729,96,600,729
2015/10/02,726,767,725,764,125,900,764
2015/10/05,775,775,765,767,56,000,767
2015/10/06,779,803,773,784,108,700,784
2015/10/07,783,788,777,785,34,600,785
2015/10/08,785,807,778,778,58,200,778
2015/10/09,790,812,785,791,105,400,791
