2011/06/02,358,358,356,356,700,178
2011/06/07,351,354,351,354,2,600,177
2011/06/08,358,358,358,358,200,179
2011/06/16,361,365,361,362,1,800,181
2011/06/21,361,362,361,362,1,000,181
2011/06/23,362,364,360,364,5,100,182
2011/06/29,372,372,372,372,400,186
2011/06/30,372,374,372,374,900,187
2015/08/24,899,939,856,878,74,700,878
2015/08/25,864,930,832,867,59,300,867
2015/08/26,875,897,871,893,36,100,893
2015/08/27,911,935,904,920,38,100,920
2015/08/28,937,973,931,958,44,200,958
2015/08/31,986,999,977,998,56,000,998
2015/09/01,995,995,937,937,48,100,937
2015/09/02,901,935,880,904,41,100,904
2015/09/03,913,938,901,901,33,100,901
2015/09/04,900,922,881,897,42,500,897
2015/09/07,893,893,826,854,45,300,854
2015/09/08,845,879,835,842,29,300,842
2015/09/09,862,872,843,851,46,300,851
2015/09/10,841,886,839,878,23,900,878
2015/09/11,878,915,865,900,50,300,900
2015/09/14,929,929,885,889,21,800,889
2015/09/15,890,915,880,882,25,200,882
2015/09/16,892,892,871,875,16,300,875
2015/09/17,874,890,872,883,18,900,883
2015/09/18,871,880,856,857,26,600,857
2015/09/24,857,879,856,856,31,800,856
2015/09/25,862,873,850,873,47,000,873
2015/09/28,860,863,845,850,32,200,850
2015/09/29,834,839,810,812,27,600,812
2015/09/30,812,835,803,811,22,300,811
2015/10/01,822,850,812,843,16,300,843
2015/10/02,840,844,812,828,14,400,828
2015/10/05,840,840,818,823,15,200,823
2015/10/06,838,882,827,836,30,600,836
2015/10/07,849,857,840,850,10,900,850
2015/10/08,850,850,831,837,8,100,837
2015/10/09,830,849,824,848,15,000,848
