2011/06/03,228,228,228,228,500,228
2011/06/06,229,229,224,229,17,500,229
2011/06/07,226,231,226,231,12,500,231
2011/06/08,230,231,230,231,17,000,231
2011/06/09,226,231,226,226,12,000,226
2011/06/10,227,234,227,234,16,000,234
2011/06/13,236,237,228,237,23,000,237
2011/06/14,237,240,230,235,20,000,235
2011/06/15,235,235,232,234,3,500,234
2011/06/16,232,232,228,231,6,000,231
2011/06/17,232,232,230,230,3,000,230
2011/06/20,230,231,230,230,6,000,230
2011/06/21,229,230,229,230,2,500,230
2011/06/22,231,231,229,231,25,000,231
2011/06/23,233,233,230,230,12,000,230
2011/06/24,230,233,230,232,5,500,232
2011/06/27,226,234,226,229,20,000,229
2011/06/28,233,233,230,233,4,000,233
2011/06/29,230,233,229,231,7,500,231
2011/06/30,232,234,231,234,6,000,234
2015/08/24,761,773,731,732,145,100,732
2015/08/25,687,779,680,723,125,200,723
2015/08/26,738,766,728,765,83,700,765
2015/08/27,785,789,764,768,42,800,768
2015/08/28,780,790,780,785,41,600,785
2015/08/31,799,800,788,800,56,800,800
2015/09/01,803,803,768,782,56,000,782
2015/09/02,752,798,750,764,66,700,764
2015/09/03,775,796,774,785,37,300,785
2015/09/04,793,793,731,740,84,400,740
2015/09/07,730,746,697,732,76,800,732
2015/09/08,721,726,709,714,40,200,714
2015/09/09,741,759,738,755,33,200,755
2015/09/10,740,748,729,730,44,700,730
2015/09/11,715,742,715,728,73,800,728
2015/09/14,755,760,730,730,62,800,730
2015/09/15,755,788,746,772,121,100,772
2015/09/16,784,784,767,773,39,000,773
2015/09/17,766,787,761,784,26,200,784
2015/09/18,782,795,775,792,52,000,792
2015/09/24,777,800,772,788,53,400,788
2015/09/25,790,813,786,810,50,100,810
2015/09/28,821,850,802,842,70,200,842
2015/09/29,840,862,814,833,129,200,833
2015/09/30,848,860,841,846,51,700,846
2015/10/01,853,854,831,838,42,600,838
2015/10/02,846,846,827,828,38,500,828
2015/10/05,860,865,848,865,67,400,865
2015/10/06,865,900,860,865,75,300,865
2015/10/07,860,865,848,862,41,400,862
