2011/06/03,497,505,497,500,400,500
2011/06/06,500,505,500,503,6,700,503
2011/06/07,503,503,500,501,3,500,501
2011/06/08,501,503,500,503,2,500,503
2011/06/09,503,503,501,502,2,000,502
2011/06/10,502,506,497,505,6,000,505
2011/06/13,508,511,500,510,8,900,510
2011/06/14,510,521,510,521,17,800,521
2011/06/15,525,532,516,518,15,800,518
2011/06/16,518,523,506,516,16,100,516
2011/06/17,516,526,516,519,4,100,519
2011/06/20,520,539,520,539,31,500,539
2011/06/21,538,540,530,530,7,500,530
2011/06/22,533,538,530,536,7,400,536
2011/06/23,538,539,535,539,5,500,539
2011/06/24,540,540,535,539,6,700,539
2011/06/27,542,545,541,544,5,200,544
2011/06/28,546,550,546,550,8,400,550
2011/06/29,550,553,547,552,16,200,552
2011/06/30,552,554,542,546,11,500,546
2015/08/24,407,408,400,402,46,500,402
2015/08/25,395,403,392,395,41,400,395
2015/08/26,400,410,398,410,22,600,410
2015/08/27,410,412,406,410,14,100,410
2015/08/28,414,418,407,417,18,700,417
2015/08/31,419,423,415,423,17,800,423
2015/09/01,422,423,413,420,41,100,420
2015/09/02,410,420,408,418,16,800,418
2015/09/03,415,418,413,416,12,500,416
2015/09/04,416,417,410,415,23,700,415
2015/09/07,404,410,404,409,12,600,409
2015/09/08,412,412,406,406,7,500,406
2015/09/09,408,412,407,412,14,000,412
2015/09/10,412,414,409,413,10,700,413
2015/09/11,416,416,413,414,16,900,414
2015/09/14,416,419,416,417,11,400,417
2015/09/15,417,420,415,415,17,000,415
2015/09/16,418,419,414,417,12,700,417
2015/09/17,413,415,412,413,18,100,413
2015/09/18,408,420,408,417,23,500,417
2015/09/24,414,418,414,418,25,800,418
2015/09/25,418,419,408,418,126,000,418
