2011/06/03,390,399,388,388,43,029,000,388
2011/06/06,388,392,381,383,19,246,000,383
2011/06/07,383,391,381,390,27,101,000,390
2011/06/08,390,394,384,388,23,048,000,388
2011/06/09,387,388,383,386,15,726,000,386
2011/06/10,390,396,388,394,33,771,000,394
2011/06/13,390,393,389,392,11,098,000,392
2011/06/14,392,394,387,388,16,738,000,388
2011/06/15,389,390,376,378,38,760,000,378
2011/06/16,377,380,373,374,29,709,000,374
2011/06/17,379,379,368,368,20,146,000,368
2011/06/20,370,375,365,365,29,930,000,365
2011/06/21,370,375,366,375,24,901,000,375
2011/06/22,376,380,373,380,27,833,000,380
2011/06/23,377,381,372,373,24,894,000,373
2011/06/24,374,376,369,372,28,825,000,372
2011/06/27,370,373,366,369,19,817,000,369
2011/06/28,374,377,372,373,24,711,000,373
2011/06/29,377,378,374,376,13,760,000,376
2011/06/30,377,378,374,377,15,780,000,377
