2011/06/03,3,870,3,905,3,855,3,860,3,964,100,3,860
2011/06/06,3,840,3,885,3,825,3,845,2,800,600,3,845
2011/06/07,3,705,3,745,3,690,3,745,8,256,700,3,745
2011/06/08,3,750,3,770,3,735,3,765,3,023,100,3,765
2011/06/09,3,720,3,775,3,710,3,775,2,775,800,3,775
2011/06/10,3,800,3,820,3,765,3,765,6,736,300,3,765
2011/06/13,3,695,3,740,3,685,3,730,3,333,600,3,730
2011/06/14,3,730,3,815,3,730,3,790,3,607,900,3,790
2011/06/15,3,790,3,820,3,770,3,810,3,582,400,3,810
2011/06/16,3,770,3,790,3,730,3,740,4,612,800,3,740
2011/06/17,3,705,3,740,3,690,3,690,4,520,400,3,690
2011/06/20,3,690,3,735,3,680,3,710,3,221,600,3,710
2011/06/21,3,700,3,730,3,685,3,730,3,902,900,3,730
2011/06/22,3,700,3,745,3,700,3,730,6,034,000,3,730
2011/06/23,3,730,3,780,3,725,3,760,3,722,800,3,760
2011/06/24,3,760,3,815,3,750,3,795,3,401,500,3,795
2011/06/27,3,785,3,790,3,755,3,765,2,552,800,3,765
2011/06/28,3,775,3,780,3,730,3,740,3,020,300,3,740
2011/06/29,3,790,3,820,3,785,3,820,4,522,800,3,820
2011/06/30,3,835,3,845,3,780,3,810,4,115,500,3,810
2015/09/10,3,701,3,747,3,675,3,690,4,556,400,3,690
2015/09/14,3,663,3,690,3,630,3,630,2,364,200,3,630
2015/09/17,3,730,3,754,3,677,3,678,3,993,600,3,678
2015/09/24,3,599,3,622,3,520,3,520,5,306,700,3,520
2015/09/25,3,520,3,552,3,476,3,547,4,999,000,3,547
2015/09/28,3,575,3,575,3,495,3,511,3,702,800,3,511
2015/09/29,3,472,3,473,3,402,3,405,4,245,500,3,405
2015/09/30,3,455,3,490,3,433,3,454,4,773,400,3,454
2015/10/01,3,484,3,552,3,449,3,536,3,604,900,3,536
2015/10/02,3,515,3,564,3,470,3,549,3,070,000,3,549
2015/10/05,3,566,3,571,3,515,3,529,3,212,300,3,529
2015/10/06,3,597,3,619,3,554,3,569,3,188,800,3,569
2015/10/07,3,600,3,600,3,556,3,586,3,446,100,3,586
2015/10/08,3,600,3,649,3,590,3,614,3,232,100,3,614
2015/10/09,3,643,3,734,3,633,3,730,4,542,200,3,730
