2011/05/27,295,295,295,295,500,295
2011/05/30,299,299,286,286,7,500,286
2011/05/31,290,298,290,298,1,500,298
2011/06/03,290,298,290,298,2,000,298
2011/06/06,298,298,298,298,1,000,298
2011/06/08,298,298,298,298,1,500,298
2011/06/09,298,298,298,298,1,000,298
2011/06/13,290,298,290,298,2,000,298
2011/06/14,292,292,291,291,1,000,291
2011/06/15,298,298,298,298,500,298
2011/06/16,291,293,291,293,1,000,293
2011/06/17,292,295,292,295,3,500,295
2011/06/20,292,295,292,294,6,500,294
2011/06/22,294,294,294,294,3,500,294
2011/06/23,294,294,294,294,500,294
2011/06/24,294,294,294,294,5,500,294
2011/06/27,294,298,294,298,5,500,298
2011/06/28,299,319,299,309,7,000,309
2011/06/29,309,309,308,309,16,000,309
2011/06/30,309,309,305,305,1,500,305
2015/08/24,663,667,623,627,34,300,627
2015/08/25,600,665,571,610,37,300,610
2015/08/26,619,650,616,640,30,900,640
2015/08/27,698,710,675,700,44,100,700
2015/08/28,711,725,701,709,29,800,709
2015/08/31,710,711,700,710,16,300,710
2015/09/01,708,710,663,663,24,900,663
2015/09/02,650,680,638,668,30,900,668
2015/09/03,674,698,674,681,15,400,681
2015/09/04,671,672,614,623,43,200,623
2015/09/07,603,607,582,591,33,500,591
2015/09/08,600,604,573,573,41,500,573
2015/09/09,613,621,600,621,38,500,621
2015/09/10,601,620,601,620,7,500,620
2015/09/11,620,639,620,639,14,900,639
2015/09/14,647,647,608,611,20,800,611
2015/09/15,610,620,600,602,16,600,602
2015/09/16,609,610,601,604,8,200,604
2015/09/17,605,623,605,611,8,800,611
2015/09/18,611,620,611,613,5,800,613
2015/09/24,613,613,591,601,11,800,601
2015/09/25,602,605,598,604,12,500,604
2015/09/28,610,610,604,608,2,100,608
2015/09/29,598,598,576,580,18,200,580
2015/09/30,584,594,584,589,8,100,589
2015/10/01,589,593,584,589,10,000,589
2015/10/02,589,615,589,612,6,400,612
2015/10/05,615,635,615,635,10,600,635
2015/10/06,640,640,623,623,20,400,623
2015/10/07,615,642,615,637,7,000,637
