2011/06/06,821,823,808,812,66,400,406
2011/06/08,810,816,805,808,33,700,404
2011/06/13,767,788,766,778,56,300,389
2011/06/15,800,816,792,812,60,000,406
2011/06/16,809,826,805,814,44,000,407
2011/06/17,815,818,790,814,58,000,407
2011/06/21,815,824,812,820,19,400,410
2011/06/22,826,826,804,810,42,200,405
2011/06/24,799,804,794,804,14,900,402
2011/06/27,800,802,786,786,38,800,393
2011/06/28,786,793,775,780,45,600,390
2015/08/24,1,994,2,058,1,919,1,925,564,300,1,925
2015/08/25,1,885,2,038,1,803,1,909,647,900,1,909
2015/08/26,1,960,1,966,1,871,1,914,373,600,1,914
2015/08/27,1,994,2,062,1,935,1,941,646,800,1,941
2015/08/28,1,992,1,992,1,927,1,942,485,600,1,942
2015/08/31,1,943,1,957,1,909,1,953,312,400,1,953
2015/09/01,1,930,1,937,1,850,1,850,378,700,1,850
2015/09/02,1,806,1,889,1,806,1,832,392,400,1,832
2015/09/03,1,846,1,900,1,846,1,865,251,700,1,865
2015/09/04,1,851,1,858,1,746,1,769,341,500,1,769
2015/09/07,1,750,1,795,1,730,1,776,274,100,1,776
2015/09/08,1,786,1,810,1,690,1,698,276,200,1,698
2015/09/09,1,767,1,816,1,745,1,799,280,400,1,799
2015/09/10,1,769,1,832,1,680,1,801,378,100,1,801
2015/09/11,1,761,1,857,1,754,1,838,259,300,1,838
2015/09/14,1,840,1,876,1,803,1,811,177,600,1,811
2015/09/15,1,812,1,815,1,740,1,758,309,800,1,758
2015/09/16,1,784,1,800,1,755,1,764,134,100,1,764
2015/09/17,1,789,1,846,1,766,1,835,263,800,1,835
2015/09/18,1,815,1,863,1,806,1,846,254,700,1,846
2015/09/24,1,842,1,887,1,842,1,863,317,800,1,863
2015/09/25,1,870,1,925,1,850,1,921,340,700,1,921
2015/09/28,1,919,2,000,1,916,1,989,530,800,1,989
2015/09/29,1,975,1,975,1,899,1,912,386,900,1,912
2015/09/30,1,980,2,011,1,953,1,968,385,800,1,968
2015/10/01,2,000,2,120,1,985,2,100,527,700,2,100
2015/10/02,2,121,2,203,2,115,2,160,699,200,2,160
2015/10/05,2,159,2,229,2,121,2,223,413,800,2,223
2015/10/06,2,234,2,280,2,207,2,266,508,500,2,266
2015/10/07,2,234,2,255,2,156,2,242,479,500,2,242
2015/10/08,2,197,2,197,2,040,2,079,958,500,2,079
2015/10/09,2,070,2,099,2,016,2,085,403,200,2,085
