2015/08/24,1,546,1,570,1,330,1,380,7,682,300,1,380
2015/08/25,1,330,1,485,1,260,1,361,6,959,000,1,361
2015/08/26,1,436,1,449,1,391,1,433,5,362,900,1,433
2015/08/27,1,480,1,512,1,412,1,429,3,667,100,1,429
2015/08/28,1,480,1,494,1,442,1,474,2,942,700,1,474
2015/08/31,1,448,1,466,1,408,1,440,2,270,900,1,440
2015/09/01,1,410,1,424,1,310,1,342,2,485,600,1,342
2015/09/02,1,284,1,384,1,275,1,334,2,473,900,1,334
2015/09/03,1,375,1,400,1,343,1,365,2,031,400,1,365
2015/09/04,1,375,1,392,1,238,1,271,2,788,700,1,271
2015/09/07,1,282,1,356,1,229,1,351,2,571,000,1,351
2015/09/08,1,341,1,375,1,283,1,301,2,576,800,1,301
2015/09/09,1,375,1,410,1,359,1,388,2,333,000,1,388
2015/09/10,1,334,1,473,1,333,1,471,3,399,500,1,471
2015/09/11,1,422,1,446,1,375,1,394,3,490,700,1,394
2015/09/14,1,364,1,399,1,330,1,362,1,916,900,1,362
2015/09/15,1,369,1,384,1,315,1,329,1,319,300,1,329
2015/09/16,1,350,1,356,1,293,1,304,1,080,600,1,304
2015/09/17,1,293,1,355,1,292,1,329,1,213,300,1,329
2015/09/18,1,315,1,318,1,294,1,301,949,200,1,301
2015/09/24,1,256,1,287,1,243,1,247,1,062,800,1,247
2015/09/25,1,252,1,300,1,232,1,297,1,342,800,1,297
