2011/06/03,361,361,360,360,200,360
2011/06/06,352,359,351,351,4,600,351
2011/06/07,353,355,352,352,1,600,352
2011/06/08,352,357,351,357,800,357
2011/06/09,354,357,350,354,4,200,354
2011/06/10,354,354,354,354,1,200,354
2011/06/13,356,364,356,361,5,300,361
2011/06/14,367,373,362,370,12,900,370
2011/06/15,362,364,351,360,36,800,360
2011/06/16,360,360,360,360,1,200,360
2011/06/17,362,362,360,360,1,100,360
2011/06/20,361,362,361,362,1,200,362
2011/06/21,364,370,364,370,2,200,370
2011/06/22,370,371,368,369,8,800,369
2011/06/23,370,370,366,370,4,000,370
2011/06/24,370,370,369,370,11,200,370
2011/06/27,370,370,370,370,2,100,370
2011/06/28,370,370,370,370,1,400,370
2011/06/29,370,375,368,375,6,200,375
2011/06/30,374,377,366,376,10,000,376
2015/08/24,487,487,464,464,37,600,464
2015/08/25,445,454,412,429,19,000,429
2015/08/26,445,454,436,443,6,500,443
2015/08/27,445,454,445,447,6,600,447
2015/08/28,463,463,445,459,6,500,459
2015/08/31,459,462,459,462,3,100,462
2015/09/01,462,462,449,449,6,500,449
2015/09/02,441,454,440,449,2,700,449
2015/09/03,451,459,447,447,2,300,447
2015/09/04,447,454,440,440,5,600,440
2015/09/07,441,441,435,438,4,800,438
2015/09/08,434,438,433,438,1,200,438
2015/09/09,433,448,433,446,13,700,446
2015/09/10,437,443,437,442,5,000,442
2015/09/11,449,453,447,450,4,000,450
2015/09/14,454,455,442,450,8,800,450
2015/09/15,466,466,450,450,11,900,450
2015/09/16,450,450,430,445,2,600,445
2015/09/17,447,453,435,450,5,000,450
2015/09/18,443,446,436,445,3,400,445
2015/09/24,428,433,425,433,29,300,433
2015/09/25,440,445,430,435,9,700,435
